season,round,match_id,venue,home_team,away_team,url,is_playoff
2017-2018,21,8251,Stade Pierre-Fabre,Castres Olympique,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8251-castres-brive,0
2017-2018,21,8252,Stade Ernest-Wallon,Stade Toulousain,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8252-toulouse-montpellier,0
2017-2018,22,8253,Stade Marcel-Deflandre,Stade Rochelais,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8253-la-rochelle-bordeaux-begles,0
2017-2018,22,8254,Stade Jean-Bouin,Stade Français Paris,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8254-paris-toulouse,0
2017-2018,22,8255,Stade Amédée-Domenech,CA Brive,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8255-brive-agen,0
2017-2018,22,8256,Stade du Hameau,Section Paloise,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8256-pau-oyonnax,0
2017-2018,22,8257,GGL Stadium,Montpellier Hérault Rugby,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8257-montpellier-castres,0
2017-2018,22,8258,Stade Mayol,RC Toulon,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8258-toulon-clermont,0
2017-2018,22,8259,Stade de Gerland,LOU Rugby,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8259-lyon-racing-92,0
2017-2018,23,8260,Stade Pierre-Fabre,Castres Olympique,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8260-castres-toulouse,0
2017-2018,23,8261,Stade Amédée-Domenech,CA Brive,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8261-brive-lyon,0
2017-2018,23,8262,Stade Jean-Bouin,Stade Français Paris,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8262-paris-clermont,0
2017-2018,23,8263,Stade Chaban-Delmas,Union Bordeaux-Bègles,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8263-bordeaux-begles-pau,0
2017-2018,23,8264,Stade Armandie,SU Agen,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8264-agen-oyonnax,0
2017-2018,23,8265,GGL Stadium,Montpellier Hérault Rugby,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8265-montpellier-la-rochelle,0
2017-2018,23,8266,Paris La Défense Arena,Racing 92,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8266-racing-92-toulon,0
2017-2018,24,8267,Stade Mayol,RC Toulon,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8267-toulon-montpellier,0
2017-2018,24,8268,Stade Marcel-Michelin,ASM Clermont,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8268-clermont-bordeaux-begles,0
