first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Clement,CASTETS,France,https://top14.lnr.fr/joueur/1797-clement-castets,,,,,,,,,,,,
Baptiste,PESENTI,France,https://top14.lnr.fr/joueur/1806-baptiste-pesenti,,,,,,,,,,,,
Giovanni,HABEL KUFFNER,Allemagne,https://top14.lnr.fr/joueur/1812-giovanni-habel-kuffner,,,,,,,,,,,,
Siate Folau,TOKOLAHI,Tonga,https://top14.lnr.fr/joueur/1850-siate-folau-tokolahi,,,,,,,,,,,,
Steven Barry,CUMMINS,Australie,https://top14.lnr.fr/joueur/1859-steven-barry-cummins,,,,,,,,,,,,
Vincent,PINTO,France,https://top14.lnr.fr/joueur/1884-vincent-pinto,,,,,,,,,,,,
Ignacio,CALLES,Argentine,https://top14.lnr.fr/joueur/1885-ignacio-calles,,,,,,,,,,,,
Clovis,LE BAIL,France,https://top14.lnr.fr/joueur/1886-clovis-le-bail,,,,,,,,,,,,
Nicolas,CORATO,France,https://top14.lnr.fr/joueur/1888-nicolas-corato,,,,,,,,,,,,
Rémi,SENECA,France,https://top14.lnr.fr/joueur/1889-remi-seneca,,,,,,,,,,,,
Beka,GORGADZE,Géorgie,https://top14.lnr.fr/joueur/1893-beka-gorgadze,,,,,,,,,,,,
Daniel,IKPEFAN,France,https://top14.lnr.fr/joueur/1894-daniel-ikpefan,,,,,,,,,,,,
Thibault,DAUBAGNA,France,https://top14.lnr.fr/joueur/1895-thibault-daubagna,,,,,,,,,,,,
Lucas,REY,France,https://top14.lnr.fr/joueur/1896-lucas-rey,,,,,,,,,,,,
Jale Kaikadavu,VATUBUA,Fidji,https://top14.lnr.fr/joueur/1904-jale-kaikadavu-vatubua,,,,,,,,,,,,
